{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,12047,45.86697705326656,12.624415855017105,,Cima Servizi S.R.L.,Energyca,Strada Del Mobile B 3  33087,33087,Pasiano Di Pordenone,2018-04-09,,
,25021,45.85012998789527,12.627658661376927,,Populin Alfio Franco Massimo,Pompe Bianche,Via Roma 125 33087,33087,Pasiano Di Pordenone,2018-04-09,,
,4789,46.04090343922261,12.509181510725398,,Donadel Orfeo Valentino,Agip Eni,Via Pedemontana 32 33070,33070,Polcenigo,2018-04-09,,
,14504,46.016509403732485,12.514231153442324,,Menegoz Alessandro,Agip Eni,Via Pordenone 139/A 33070,33070,Polcenigo,2018-04-09,,
,37731,45.96871698213921,12.615570276975632,,T.D.M. S.R.L.,Tamoil,Corso L. Zanussi  33080,33080,Porcia,2018-04-09,,
,26173,45.97297025770124,12.613624334335327,,S.G.S. Srl,Conad,Via Lazio 58 33080,33080,Porcia,2018-04-09,,
,35393,45.96772733323586,12.623879760503769,,Commercio Petroli S.R.L.,Costantin,Corso Lino Zanussi 29 33080,33080,Porcia,2018-04-09,,
,27777,45.94209087468099,12.59563055046408,,Pignat Manuele,Agip Eni,Via Brinis 7/A 33080,33080,Porcia,2018-04-09,,
,33385,45.94236846905003,12.562072277069092,,Duino Nord S.A.S Di Sacilotto Laura & C.,Kerotris,Autostrada A28 Portogruaro-Conegliano  Km. 28 + 300  Dir. Conegliano 33080,33080,Porcia,2018-04-09,,
,20739,45.941813681559495,12.617889676721234,,Agip Alla Crose - Rotundo Giorgio,Agip Eni,Via Spinazzedo 8 33080,33080,Porcia,2018-04-09,,
,27689,45.95179940129792,12.698172926902771,,A.F.B. Petroli Srl,Af Petroli,Via Pra 19 33170,33170,Pordenone,2018-04-09,,
,35351,45.95180126608242,12.687619104981422,,Kasemaj Eduart,Agip Eni,Viale Aquileia 30 33170,33170,Pordenone,2018-04-09,,
,24974,45.96393959294192,12.649444160079952,,Masutti Stefano,Api-Ip,Viale Michelangelo Grigoletti 46  33170,33170,Pordenone,2018-04-09,,
,38392,45.98410910004165,12.64346231874083,,Commercio Petroli S.R.L.,Costantin,Via Montereale  157/A 33170,33170,Pordenone,2018-04-09,,
,30014,45.972357286737875,12.68227611887471,,De Carlo Carlo Di De Carlo Vania & C. S.N.C.,Tamoil,Via Piave 129 33170,33170,Pordenone,2018-04-09,,
,21544,45.95046042898029,12.695501446723938,,Val.Gre.Ca. S.R.L.,Pompe Bianche,Via Musile 18 33170,33170,Pordenone,2018-04-09,,
,21065,45.922259847810736,12.637737793115207,,Hoxha Bledar,Agip Eni,Strada Statale 55  Dir. Oderzo  33170,33170,Pordenone,2018-04-09,,
,25251,45.936577036334704,12.648761482803366,,Basso Antonio,Agip Eni,Viale Treviso 38 33170,33170,Pordenone,2018-04-09,,
,29551,45.947557097581885,12.683377861976624,,Zanetti S.N.C. Di Zanetti Nicola E C.,Agip Eni,Via Udine 126 33170,33170,Pordenone,2018-04-09,,
,36519,45.996786279441174,12.631489858031273,,Cki.Ara S.N.C. Di Mazzon Maurizio,Agip Eni,Via Roveredo 26 33170,33170,Pordenone,2018-04-09,,
,25419,45.95078451417764,12.661680668625195,,Gazzola Mario,Esso,Via Delle Grazie 5 33170,33170,Pordenone,2018-04-09,,
,34492,45.97208795840466,12.642505019903183,,Fratelli Favaro S.N.C. Di Favaro Claudio E Favaro Marco,Agip Eni,Viale Venezia 46 33170,33170,Pordenone,2018-04-09,,
,4737,45.969222713223935,12.630750953967322,,Gruppo Nord Petroli S.R.L.,Pompe Bianche,Viale Venezia 13 33170,33170,Pordenone,2018-04-09,,
,38628,45.981414490866385,12.64553390443325,,La Perla S.N.C. Di Iqbal Farzana & C.,Esso,Via Montereale 88 33170,33170,Pordenone,2018-04-09,,
,40869,45.963684998779236,12.651037403904752,,La Perla S.N.C. Di Mohammad Sajjad & C.,Agip Eni,Viale Grigoletti 40 33170,33170,Pordenone,2018-04-09,,
,18569,45.97419472236848,12.629736173985293,,Medunagas - S.R.L.,Pompe Bianche,Via Polcenigo 12/A 33170,33170,Pordenone,2018-04-09,,
,7261,45.964287472933414,12.672900661376957,,Servizi & Gestioni Italia S.R.L.,Q8,Viale Liberta' 60 33170,33170,Pordenone,2018-04-09,,
,11773,45.96598440954757,12.640182741069793,,Servizi & Gestioni Italia S.R.L.,Q8,V.Le Grigoletti 92 33170,33170,Pordenone,2018-04-09,,
,11775,45.95038718786618,12.665000731889904,,Servizi & Gestioni Italia S.R.L.,Q8,Via Mestre S/N 33170,33170,Pordenone,2018-04-09,,
,11776,45.969098135740744,12.672473585319494,,Servizi & Gestioni Italia S.R.L.,Q8,Via Piave 8/A 33170,33170,Pordenone,2018-04-09,,
,30161,45.93902264619738,12.650908380746841,,Dinicola Fabrizio,Q8,Viale Treviso 11 33170,33170,Pordenone,2018-04-09,,
,34369,45.97471154348961,12.65073143201596,,Tesolin Fabio,Esso,Viale Venezia 95 33170,33170,Pordenone,2018-04-09,,
,5225,45.93158307224227,12.657717168331146,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,Via Nuova Di Corva  33170,33170,Pordenone,2018-04-09,,
,7481,45.963836764084945,12.650410160422325,,Tesolin Fabio,Esso,V.Le M. Grigoletti 42 33170,33170,Pordenone,2018-04-09,,
,6871,45.930082031679405,12.645041181059241,,Welna S.N.C. Di Natale Santarossa & C.,Total Erg,Viale Treviso 62 33170,33170,Pordenone,2018-04-09,,
,21299,45.893878162296645,12.593788546837459,,Kasemaj Eduart,Agip Eni,Via Opitergina 43 33080,33080,Prata Di Pordenone,2018-04-09,,
