ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
24582,yes,,Recati Services - S.N.C. di Recati Giovanni e C.,Total Erg,43.99076,11.23085
7259,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.49369,11.12056
6253,yes,,F.Lli Cioni di Cioni Mauro e Maurizio S.N.C.,Aquila,43.48366,11.14262
15003,yes,,Tre + S.R.L.,Repsol,43.48539,11.14487
14395,yes,,Seganti Paolo,Tamoil,43.94021,11.21559
36828,yes,,Vivocaffe' S.A.S. di Damiano Giuseppe e C.,Api-Ip,43.83557,11.16005
22927,yes,,Brini Carlo & Bettarini Roberto S.N.C.,Agip Eni,43.81412,11.1198
5284,yes,,Beyfin S.p.A.,,43.80772,11.10223
28716,yes,,R.C.M. di Moio Nicola & C. S.N.C.,Aquila,43.58877,10.98939
36348,yes,yes,New Green Fuel S.R.L.,Tamoil,43.59301,10.96895
13544,,yes,Metano Toscana S.R.L.,,43.57768,11.00798
18567,yes,,Self Pingua di Pecorini Filippo & C.S.A.S,,43.77869,10.85864
40050,yes,yes,F.Lli Gaggioli e Calonaci di Calonaci Gianni & C. S.N.C.,Aquila,43.69175,10.96111
13539,yes,yes,Metano Toscana S.R.L.,,43.7166,10.96852
22367,yes,yes,Metano Toscana S.R.L.,,43.701,10.89471
30603,yes,,New Gas Network di Mandorlini Elisa & Filippo - S.N.C.,,43.72034,10.89813
36591,yes,,Costagli Francesco,,43.72003,10.91647
13527,,yes,Metano Toscana S.R.L.,,43.59758,11.49611
6582,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.74305,11.28891
14560,yes,,Palazzini Sergio,,43.82031,11.22262
37866,yes,yes,T.R.T di Faini Andrea & C. S.N.C.,,43.76871,11.31677
40945,yes,yes,Firenze 2 S.N.C. di Ivano Genivi e C.,,43.74565,11.22817
40878,,yes,Beyfin S.p.A.,,43.80442,11.21543
5628,yes,,Beyfin S.p.A.,,43.80127,11.20362
9118,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.7965,11.15878
6579,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.75601,11.30421
14932,yes,yes,Oil Service S.R.L.,Tamoil,43.799,11.20917
32251,,yes,Star Service S.R.L.,Tamoil,43.76504,11.20618
32252,yes,,Star Service S.R.L.,Tamoil,43.76487,11.20254
16515,yes,,Due C S.A.S. di Cencini Francesco,Api-Ip,43.77502,11.18645
32714,,yes,M & Z S.N.C. di Marucelli Franca e Zanieri Jacopo,Agip Eni,43.80047,11.27705
29123,yes,yes,Tre Es. di Giorgione Stefano & C. S.N.C.,Total Erg,43.77293,11.19934
16947,yes,,Due Esse di Scarpelli Stefano e Sandro S.N.C.,Agip Eni,44.1185,11.38371
19266,,yes,S.I.M. - S.R.L.,,44.16329,11.33177
34931,yes,,Ala Carburanti S.R.L.,Esso,43.73815,10.779
25279,yes,,Cantore Pietro e Picchi Roberto S.N.C.,Aquila,43.73679,10.80974
5031,yes,,Matricardi Manuele & C. S.N.C.,Agip Eni,43.77074,10.72561
25351,,yes,Star Service S.R.L.,Tamoil,43.70848,10.82111
35444,yes,yes,Neri Luca,,43.72448,10.82107
40294,yes,,Violante Immobiliare S.R.L.,Q8,43.73881,10.79619
29574,,yes,Miniati Lorenzo,Agip Eni,43.60016,11.31262
28375,yes,,Caltabiano Francesco,Api-Ip,43.67171,11.35438
41797,yes,,Torregas - S.R.L.,Api-Ip,43.67172,11.35439
36464,yes,,Mantelli Michele,Total Erg,43.59866,11.31465
9947,,yes,"Car Gold di Bandini Daniele,gaggioli Stefano & C. S.A.S.",Aquila,43.7097,11.06446
26637,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.73567,11.10627
5658,yes,,Pa.Petrol S.N.C. di Monica e Maurizio Parri,,43.54434,10.92731
24660,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.72766,11.02047
18791,yes,,Lupi S.R.L.,Agip Eni,43.67409,11.07482
4662,yes,,"P.B.S. di Pasquini Mauro, Baggiani Leonardo e Smorti Fabio S.N.C.",Q8,43.77098,11.4295
29475,yes,yes,Marino S.N.C. di Ferrini Simone & C.,Tamoil,43.67265,11.5266
13575,yes,,C.C.S. di Canonici Giovanni & C. S.N.C.,,43.63296,11.47288
30204,,yes,M.A.B.E Service di Aglietti Marco e Barbieri Emiliano S.N.C.,Agip Eni,43.70399,11.44956
40908,yes,yes,Nuova Sidap S.R.L.,Agip Eni,43.60596,11.19105
5291,yes,yes,Beyfin S.p.A.,,43.76509,11.16213
13739,,yes,Metano Scandicci S.R.L.,,43.77251,11.15117
20989,yes,yes,Belli Giampiero & Valter S.N.C.,,43.96356,11.33867
23784,yes,yes,Star Service S.R.L.,Tamoil,43.9619,11.30612
3510,yes,,Blu Service S.N.C.,Api-Ip,43.83969,11.16206
20740,yes,,Ely.Fra Società in Nome Collettivo di Langella Elisabetta,Aquila,43.81904,11.18861
4995,,yes,Oilfin S.R.L.,,43.8406,11.17578
3500,yes,yes,Sara S.R.L.,Agip Eni,43.81951,11.17316
3861,yes,yes,Eni Fuel S.p.A.,Agip Eni,43.81833,11.1729
6937,,yes,Vezzosi Mauro e Filippo S.N.C.,Agip Eni,43.7871,11.10095
8363,yes,,Goccia Blu di Marco Parti e Simona Naldini S.N.C.,Total Erg,43.56178,11.18024
4902,,yes,Padim di Panti Francesco,Aquila,43.59179,11.1998
5084,yes,,Chioscar S.N.C. di Ciucchi Francesco e Rosari Marco,Agip Eni,43.93791,11.44159
27633,,yes,Multicarburanti S.R.L.,Agip Eni,43.10388,13.83202
31760,yes,,Simonetti Mario S.R.L.,Api-Ip,43.11076,13.8361
10227,yes,,Fermana Carburanti S.R.L.,Tamoil,42.97084,13.35485
24997,yes,,Piceno Est di Nicola Meuli e C. S.A.S.,Agip Eni,43.07577,13.8441
3733,yes,,Corazzi A.& C. S.A.S.,Q8,43.0749,13.8429
41031,yes,,Morichetti Arianna,,43.09381,13.49558
4425,,yes,Co.Me.Tra. S.R.L.,Agip Eni,43.15822,13.79049
24680,yes,yes,Metanauto Giulianova S.R.L.,,43.17011,13.72992
26532,yes,,Simonetti Mario S.R.L.,Api-Ip,43.16244,13.79799
27676,yes,,Evandri S.N.C. di Evandri Andrea & C.,Api-Ip,43.17055,13.75209
28798,yes,,Fermana Carburanti S.R.L.,Tamoil,43.16212,13.66613
33834,yes,,Fermana Carburanti S.R.L.,Tamoil,43.14213,13.7458
34736,yes,,Mariani Service di Mariani Giuseppe,Total Erg,43.16335,13.64402
27960,yes,yes,Metanauto Giulianova S.R.L.,Tamoil,43.21819,13.77926
33020,yes,,Simonetti Mario S.R.L.,Api-Ip,43.12672,13.61689
26454,yes,yes,De Mattia Gemma,Api-Ip,43.19553,13.58501
26533,yes,,Area Plus Carburanti e Servizi di Cutini Marusca & C. S.A.S.,,43.20936,13.67443
26612,yes,yes,Millevolte Niki & Anthony S.N.C.,Esso,43.20667,13.64692
25622,,yes,Simonetti Mario S.R.L.,Simonetti Petroli,43.18375,13.68379
38046,yes,yes,Gedoil S.R.L.,D Amico,43.04136,13.63873
25623,yes,yes,Simonetti Mario S.R.L.,Simonetti Petroli,43.10297,13.5271
19421,,yes,Vitali Mauro,Agip Eni,43.10392,13.51588
28228,yes,,Top Service di Trentanni Patrizio e C. S.N.C.,,43.22311,13.6341
32570,yes,,Ip Services S.R.L.,Api-Ip,43.07195,13.75266
5726,yes,,Strovegli Gino,Api-Ip,43.27194,13.74984
5021,yes,yes,Pan Petroli S.R.L.,Agip Eni,43.23675,13.76998
19441,,yes,Zucconi Luciano & Giandomenico Giovanni - S.N.C.,,43.24565,13.75897
6145,,yes,Delta Oil S.R.L.,,43.28952,13.73469
5206,,yes,Metano Senigallia S.R.L.,Agip Eni,43.14123,13.6124
19121,yes,,Coro S.R.L.,Agip Eni,43.25944,13.69169
27914,yes,yes,Bfpt S.A.S. di Biancucci Gianni & C.,,43.24201,13.69354
3884,yes,,Totalerg S.p.A.,Total Erg,43.2859,13.7238
39719,yes,,Chienti S.R.L.,Sarni Oil,43.28559,13.72259
4536,yes,yes,Metanauto Giulianova S.R.L.,,43.20315,13.70925
20248,yes,,Servizi & Gestioni Italia S.R.L.,Q8,43.27216,13.6569
40324,yes,,Società Italiana Gas Liquidi S.p.A.,Esso,43.26764,13.6659
36326,,yes,Stazione di Servizio Monti Nando,Agip Eni,41.77676,13.20958
39811,yes,,Valeriani Lucio,Agip Eni,41.66953,13.32239
41341,yes,,Aletrium Servizi S.R.L.,Agip Eni,41.73825,13.33637
41938,,yes,New Energy S.R.L.,,41.65974,13.31305
36315,yes,,Santucci S.A.S. di Santucci Francesca & C.,Total Erg,41.67015,13.32208
28172,yes,,Croster di Crosta Angelo e C. - S.N.C.,,41.72128,13.18777
36081,,yes,Goldengas - Società Per Azioni,,41.71989,13.19985
29383,yes,,Nuova Sidap S.R.L.,Q8,41.68687,13.18784
3748,yes,,Area di Servizio Biondi Antonio & C. S.N.C.,Esso,41.68512,13.18862
39562,yes,,Ge.Ca. S.N.C. di Quistini Michele e Marcoccia Maurizio,Repsol,41.72636,13.15035
36149,yes,,In.Ca. Società a Responsabilità Limitata Semplificata,Agip Eni,41.58824,13.56164
20413,yes,,C.S.I. Caira Servizi Integrati S.R.L.,Esso,41.61494,13.79418
35522,yes,,Enerway S.R.L.,,41.62649,13.79277
36299,yes,,Marciello Armando,Agip Eni,41.33627,13.75371
37297,yes,,President S.R.L.,Esso,41.51266,13.84371
36194,,yes,Metanservice S.R.L.,,41.46448,13.78512
32869,yes,,Stazione di Servizio di Perfili Tonino,Agip Eni,41.50823,13.39329
36932,yes,,F.Lli Morsilli S.R.L.,Api-Ip,41.49768,13.68341
